"","V1","V2"
"1","1007_s_at","DDR1"
"2","1053_at","RFC2"
"3","117_at","HSPA6"
"4","121_at","PAX8"
"5","1255_g_at","GUCA1A"
"6","1294_at","UBA7"
"7","1316_at","THRA"
"8","1320_at","PTPN21"
"9","1405_i_at","CCL5"
"10","1431_at","CYP2E1"
"11","1438_at","EPHB3"
"12","1487_at","ESRRA"
"13","1494_f_at","CYP2A6"
"14","1552256_a_at","SCARB1"
"15","1552257_a_at","TTLL12"
"16","1552258_at","LINC00152"
"17","1552261_at","WFDC2"
"18","1552263_at","MAPK1"
"19","1552264_a_at","MAPK1"
"20","1552266_at","ADAM32"
"21","1552269_at","SPATA17"
"22","1552271_at","PRR22"
"23","1552272_a_at","PRR22"
"24","1552274_at","PXK"
"25","1552275_s_at","PXK"
"26","1552276_a_at","VPS18"
"27","1552277_a_at","MSANTD3"
"28","1552278_a_at","SLC46A1"
"29","1552279_a_at","SLC46A1"
"30","1552280_at","TIMD4"
"31","1552281_at","SLC39A5"
"32","1552283_s_at","ZDHHC11 /// ZDHHC11B"
"33","1552286_at","ATP6V1E2"
"34","1552287_s_at","AFG3L1P"
"35","1552288_at","CILP2"
"36","1552289_a_at","CILP2"
"37","1552291_at","PIGX"
"38","1552293_at","TMEM196"
"39","1552295_a_at","SLC39A13"
"40","1552296_at","BEST4"
"41","1552299_at","AK9"
"42","1552301_a_at","CORO6"
"43","1552302_at","TMEM106A"
"44","1552303_a_at","TMEM106A"
"45","1552304_at","ALG10"
"46","1552306_at","ALG10"
"47","1552307_a_at","TTC39C"
"48","1552309_a_at","NEXN"
"49","1552310_at","C15orf40"
"50","1552311_a_at","RAX2"
"51","1552312_a_at","MFAP3"
"52","1552314_a_at","EYA3"
"53","1552315_at","GIMAP1"
"54","1552316_a_at","GIMAP1"
"55","1552318_at","GIMAP1"
"56","1552319_a_at","KLK8"
"57","1552320_a_at","CCDC65"
"58","1552321_a_at","CCDC65"
"59","1552322_at","FAM122C"
"60","1552323_s_at","FAM122C"
"61","1552325_at","CFAP53"
"62","1552326_a_at","CFAP53"
"63","1552327_at","ARMCX4"
"64","1552329_at","RBBP6"
"65","1552330_at","CENPBD1"
"66","1552332_at","TRIOBP"
"67","1552334_at","TRIOBP"
"68","1552335_at","CATSPER1"
"69","1552337_s_at","HOXD4"
"70","1552338_at","GSC"
"71","1552340_at","SP7"
"72","1552343_s_at","PDE7A"
"73","1552344_s_at","CNOT7"
"74","1552347_at","CRYZL1"
"75","1552348_at","PRSS33"
"76","1552349_a_at","PRSS33"
"77","1552354_at","CBARP"
"78","1552355_s_at","CBARP"
"79","1552359_at","MCMDC2"
"80","1552360_a_at","TIRAP"
"81","1552362_a_at","LEAP2"
"82","1552364_s_at","MSI2"
"83","1552365_at","SCIN"
"84","1552367_a_at","SCIN"
"85","1552368_at","CTCFL"
"86","1552370_at","C4orf33"
"87","1552372_at","C4orf33"
"88","1552373_s_at","C4orf33"
"89","1552375_at","ZNF333"
"90","1552377_s_at","TVP23C"
"91","1552378_s_at","RDH10"
"92","1552379_at","RDH10"
"93","1552381_at","SRSF12"
"94","1552383_at","FAM71A"
"95","1552384_a_at","FAM71A"
"96","1552386_at","GAPT"
"97","1552388_at","SCUBE1"
"98","1552389_at","ERICH5"
"99","1552390_a_at","ERICH5"
"100","1552391_at","CCDC185"
"101","1552393_at","ENTHD1"
"102","1552394_a_at","ENTHD1"
"103","1552395_at","TSSK3"
"104","1552396_at","WFDC6"
"105","1552398_a_at","CLEC12A"
"106","1552399_a_at","BRF1"
"107","1552400_a_at","TMEM266"
"108","1552401_a_at","BACH1 /// GRIK1-AS2"
"109","1552402_at","CALML6"
"110","1552405_at","NLRP5"
"111","1552408_at","ODF4"
"112","1552409_a_at","ODF4"
"113","1552410_at","CLEC4F"
"114","1552411_at","DEFB106A /// DEFB106B"
"115","1552412_a_at","DEFB106A /// DEFB106B"
"116","1552414_at","WFDC9"
"117","1552415_a_at","WFDC9"
"118","1552417_a_at","NEDD1"
"119","1552418_at","TTLL10"
"120","1552419_s_at","TTLL10"
"121","1552421_a_at","CALR3"
"122","1552422_at","C10orf25"
"123","1552423_at","ETV3"
"124","1552424_at","KLHL10"
"125","1552425_a_at","KLHL10"
"126","1552426_a_at","TM2D3"
"127","1552427_at","ZNF485"
"128","1552430_at","WDR17"
"129","1552432_at","MFSD6L"
"130","1552436_a_at","CDH23"
"131","1552438_a_at","ANKAR"
"132","1552439_s_at","MEGF11"
"133","1552440_at","GPR182"
"134","1552445_a_at","ESX1"
"135","1552448_a_at","FAM167A-AS1"
"136","1552449_a_at","SCGB1C1 /// SCGB1C2"
"137","1552450_a_at","DNAJC5G"
"138","1552452_at","WDR88"
"139","1552453_a_at","WDR88"
"140","1552455_at","PRUNE2"
"141","1552456_a_at","MBD3L2"
"142","1552457_a_at","ADAMTSL1"
"143","1552458_at","MBD3L1"
"144","1552459_a_at","MBD3L1"
"145","1552461_at","FAM46D"
"146","1552463_at","SERPINB11"
"147","1552466_x_at","LINC00161"
"148","1552467_at","DSCR10"
"149","1552468_a_at","DSCR10"
"150","1552470_a_at","ABHD11"
"151","1552472_a_at","ACAP2"
"152","1552473_at","GAMT"
"153","1552474_a_at","GAMT"
"154","1552476_s_at","PLCD3"
"155","1552477_a_at","IRF6"
"156","1552478_a_at","IRF6"
"157","1552480_s_at","PTPRC"
"158","1552481_s_at","MAN1A2"
"159","1552482_at","RAPH1"
"160","1552484_at","SMCR8"
"161","1552485_at","LACTB"
"162","1552486_s_at","LACTB"
"163","1552487_a_at","BNC1"
"164","1552489_s_at","MPP4"
"165","1552490_at","LACE1"
"166","1552491_at","IDI2"
"167","1552493_s_at","CYP11B1"
"168","1552494_at","TAF8"
"169","1552496_a_at","COBL"
"170","1552497_a_at","SLAMF6"
"171","1552498_at","ZSCAN20"
"172","1552499_a_at","ZSCAN20"
"173","1552501_a_at","GPBAR1"
"174","1552502_s_at","RHBDL2"
"175","1552503_at","FRAS1"
"176","1552504_a_at","BRSK1"
"177","1552506_at","CRB2"
"178","1552507_at","KCNE4"
"179","1552508_at","KCNE4"
"180","1552509_a_at","CD300LG"
"181","1552510_at","SLC34A3"
"182","1552511_a_at","CPA6"
"183","1552514_at","WBP2NL"
"184","1552515_at","HIPK1"
"185","1552516_a_at","HIPK1"
"186","1552518_s_at","MTBP"
"187","1552519_at","ACVR1C"
"188","1552520_at","TMEM74"
"189","1552521_a_at","TMEM74"
"190","1552522_at","TIGD4"
"191","1552523_a_at","TIGD4"
"192","1552524_at","ART5"
"193","1552526_at","FAM71C"
"194","1552528_at","LINC01547"
"195","1552531_a_at","NLRP11"
"196","1552532_a_at","ATP6V1C2"
"197","1552535_at","CLDN19"
"198","1552536_at","VTI1A"
"199","1552538_a_at","KIF6"
"200","1552540_s_at","IQCD"
"201","1552541_at","TAGAP"
"202","1552542_s_at","TAGAP"
"203","1552543_a_at","STON2"
"204","1552544_at","SERPINA12"
"205","1552546_a_at","LETM2"
"206","1552548_at","BSND"
"207","1552549_a_at","BSND"
"208","1552552_s_at","CLEC4C"
"209","1552553_a_at","NLRC4"
"210","1552554_a_at","NLRC4"
"211","1552555_at","PRSS36"
"212","1552557_a_at","ZDHHC15"
"213","1552558_a_at","RAI1"
"214","1552559_a_at","CDK15"
"215","1552562_at","ZNF570"
"216","1552563_a_at","1552563_a_at"
"217","1552564_at","NUDT9P1"
"218","1552566_at","BTBD16"
"219","1552568_at","RTP3"
"220","1552569_a_at","RTP3"
"221","1552570_at","TSPEAR"
"222","1552572_a_at","MIPOL1"
"223","1552573_s_at","MIPOL1"
"224","1552575_a_at","C6orf141"
"225","1552576_at","ALMS1P"
"226","1552578_a_at","MYO3B"
"227","1552579_a_at","ADAM21"
"228","1552580_at","TRIML2"
"229","1552582_at","ABCC13"
